DILT_0000000901-mRNA-1	A0A3P6QAK1	A0A3P6QAK1_DIBLA	100	176	0	0	1	176	1	176	2.72e-120	344
DILT_0000004901-mRNA-1	A0A3P6SH51	A0A3P6SH51_DIBLA	99.5	185	1	0	1	185	1	185	4.36e-110	319
DILT_0000016501-mRNA-1	A0A3P6QC08	A0A3P6QC08_DIBLA	100	304	0	0	1	304	1	304	7.06e-216	597
DILT_0000021301-mRNA-1	A0A3P6PJU5	A0A3P6PJU5_DIBLA	100	358	0	0	1	358	1	358	1.52e-260	714
DILT_0000025501-mRNA-1	A0A3P6PS46	A0A3P6PS46_DIBLA	100	224	0	0	1	224	1	224	1.52e-161	452
DILT_0000031701-mRNA-1	A0A3P6PBD6	A0A3P6PBD6_DIBLA	100	383	0	0	1	383	1	383	2.86e-289	789
DILT_0000034101-mRNA-1	A0A3P6PFB4	A0A3P6PFB4_DIBLA	100	156	0	0	1	156	1	156	1.40e-110	318
DILT_0000041001-mRNA-1	A0A3P6P3K9	A0A3P6P3K9_DIBLA	100	114	0	0	1	114	1	114	1.08e-78	234
DILT_0000045801-mRNA-1	A0A3P6P4D5	A0A3P6P4D5_DIBLA	100	353	0	0	1	353	1	353	6.11e-253	694
DILT_0000048901-mRNA-1	A0A3P6P4U1	A0A3P6P4U1_DIBLA	100	585	0	0	1	585	1	585	0.0	1152
DILT_0000058801-mRNA-1	A0A3P6QKR3	A0A3P6QKR3_DIBLA	100	197	0	0	1	197	1	197	1.80e-142	402
DILT_0000063301-mRNA-1	A0A3P6PT99	A0A3P6PT99_DIBLA	100	142	0	0	1	142	1	142	1.10e-98	287
DILT_0000085401-mRNA-1	A0A3P6PFK3	A0A3P6PFK3_DIBLA	100	213	0	0	1	213	1	213	1.55e-135	386
DILT_0000128101-mRNA-1	A0A3P6R5R8	A0A3P6R5R8_DIBLA	100	151	0	0	1	151	1	151	7.57e-108	311
DILT_0000139401-mRNA-1	A0A3P6RGX7	A0A3P6RGX7_DIBLA	100	148	0	0	1	148	1	148	2.80e-79	238
DILT_0000141001-mRNA-1	A0A3P6PVR7	A0A3P6PVR7_DIBLA	100	68	0	0	2	69	2	69	1.49e-44	144
DILT_0000146401-mRNA-1	A0A3P6Q0S8	A0A3P6Q0S8_DIBLA	99.4	154	1	0	1	154	1	154	4.89e-110	317
DILT_0000147401-mRNA-1	A0A3P6PQP4	A0A3P6PQP4_DIBLA	100	100	0	0	1	100	1	100	3.32e-62	191
DILT_0000163601-mRNA-1	A0A3P6Q5G0	A0A3P6Q5G0_DIBLA	99.1	115	1	0	1	115	1	115	5.53e-68	207
DILT_0000175701-mRNA-1	A0A3P6QMN5	A0A3P6QMN5_DIBLA	100	70	0	0	1	70	1	70	1.60e-44	144
DILT_0000178401-mRNA-1	A0A3P6RWH6	A0A3P6RWH6_DIBLA	100	147	0	0	1	147	1	147	8.26e-101	293
DILT_0000213301-mRNA-1	A0A3P6TSB9	A0A3P6TSB9_DIBLA	100	589	0	0	1	589	1	589	0.0	1157
DILT_0000213901-mRNA-1	A0A3P6S4N2	A0A3P6S4N2_DIBLA	100	567	0	0	1	567	1	567	0.0	1132
