Gbulla1a000159T1	DILT_0000578601-mRNA-1	43.2	512	254	8	15	496	75	579	4.23e-139	422
Gbulla1a000159T1	tr|A0A3P7LUS4|A0A3P7LUS4_DIBLAAmiloride-sensitive	43.2	512	254	8	15	496	75	579	4.23e-139	422
Gbulla1a000159T1	SSLN_0000213901-mRNA-1	44.4	478	238	6	15	465	79	555	1.92e-138	417
Gbulla1a000159T1	tr|A0A183SCX1|A0A183SCX1_SCHSOFMRFamide-activated	44.4	478	238	6	15	465	79	555	1.92e-138	417
Gbulla1a000159T1	HDID_0000470601-mRNA-1	43.3	504	256	7	5	479	71	573	4.65e-138	421
Gbulla1a000159T1	tr|A0A0R3SIE1|A0A0R3SIE1_HYMDIFMRFamide-activated	43.3	504	256	7	5	479	71	573	4.65e-138	421
Gbulla1a000159T1	tr|A0A564Z6I1|A0A564Z6I1_HYMDIFMRFamide-activated	43.3	504	256	7	5	479	71	573	4.65e-138	421
Gbulla1a000159T1	HmN_000453700	43.5	497	251	8	12	479	80	575	1.21e-135	414
Gbulla1a000159T1	HNAJ_0000742601-mRNA-1	43.5	501	245	9	12	479	80	575	1.91e-134	411
Gbulla1a000159T1	tr|A0A0R3TJX9|A0A0R3TJX9_RODNAFMRFamide-activated	43.5	501	245	9	12	479	80	575	1.91e-134	411
Gbulla1a000159T1	PXEA_0002097601-mRNA-1	39.3	535	298	8	7	515	98	631	1.20e-128	395
Gbulla1a000159T1	tr|A0A448WRB3|A0A448WRB3_9PLATUncharacterized	39.3	535	298	8	7	515	98	631	1.20e-128	395
Gbulla1a000159T1	PXEA_0000378801-mRNA-1	35.0	337	162	7	191	475	6	337	2.79e-53	193
Gbulla1a000159T1	tr|A0A3S5A6L8|A0A3S5A6L8_9PLATUncharacterized	35.0	337	162	7	191	475	6	337	2.79e-53	193
Gbulla1a000159T1	PXEA_0002032001-mRNA-1	51.0	98	48	0	12	109	177	274	2.09e-26	117
Gbulla1a000159T1	tr|A0A3S5A8G5|A0A3S5A8G5_9PLATUncharacterized	51.0	98	48	0	12	109	177	274	2.09e-26	117
Gbulla1a000159T1	maker-jcf7180000224771-augustus-gene-0.10-mRNA-1	21.5	511	325	14	20	470	67	561	7.34e-14	79.3
Gbulla1a000159T1	SROB_0000324201-mRNA-1	32.5	120	66	2	15	134	47	151	4.24e-10	64.3
Gbulla1a000159T1	tr|A0A183QHX3|A0A183QHX3_9TREMUncharacterized	32.5	120	66	2	15	134	47	151	4.24e-10	64.3
Gbulla1a000159T1	PXEA_0001430001-mRNA-1	29.6	152	99	3	8	156	127	273	5.09e-10	65.9
Gbulla1a000159T1	tr|A0A448WH52|A0A448WH52_9PLATUncharacterized	29.6	152	99	3	8	156	127	273	5.09e-10	65.9
Gbulla1a000159T1	CRM22_009406	20.7	531	324	23	15	470	71	579	1.31e-09	65.9
Gbulla1a000159T1	tr|A0A4S2L913|A0A4S2L913_OPIFEUncharacterized	20.7	531	324	23	15	470	71	579	1.31e-09	65.9
Gbulla1a000159T1	ECPE_0000233601-mRNA-1	21.2	533	319	17	15	470	32	540	1.80e-09	65.5
Gbulla1a000159T1	tr|A0A183A5V1|A0A183A5V1_9TREMAmiloride-sensitive	21.2	533	319	17	15	470	32	540	1.80e-09	65.5
Gbulla1a000252T1	tr|A0A0R3UQ15|A0A0R3UQ15_MESCOUncharacterized	55.3	465	173	7	20	473	21	461	6.63e-173	499
Gbulla1a000252T1	MCU_010531-RC	55.3	465	173	7	20	473	36	476	1.10e-172	499
Gbulla1a000252T1	tr|A0A5K3FRC6|A0A5K3FRC6_MESCOUncharacterized	55.3	465	173	7	20	473	36	476	1.10e-172	499
